k,inertia,silhouette,fit_sample_size,silhouette_sample_size
2,797635.3125,0.24406220018863678,50000,20000
3,699404.875,0.22565320134162903,50000,20000
4,652389.125,0.22231726348400116,50000,20000
5,608184.6875,0.23103581368923187,50000,20000
6,574472.5625,0.23703940212726593,50000,20000
7,547941.1875,0.24016088247299194,50000,20000
8,522960.71875,0.22954940795898438,50000,20000
