model,roc_auc,roc_auc_weighted,f1,precision_at_top20,precision_at_top20_weighted,brier,brier_weighted
xgboost,0.9540154453336335,0.9539804231123209,0.5819712729073799,0.28442551058764565,0.29210298878403135,0.03203051613893833,0.03284731397851486
random_forest,0.9448978434171391,0.9450690024782699,0.5175853018372704,0.27828592908156874,0.28584336224061974,0.03482430225707237,0.03572832051433292
logistic_regression,0.9435496796929597,0.9432213692732947,0.5119506553585197,0.2767823581004887,0.28465153763091244,0.036198874763709574,0.03721831140049258
